,level_0,metadata_title,date,index,filepath,dir,newspaper_title,newspaper_date,newspaper_city,newspaper_publisher,newspaper_source,newspaper_volume,newspaper_issuenumber,newspaper_language
10,10,DDD:ddd:010553994:mpeg21.didl.xml.gz.xml,1950-04-27,10,../data/1950/04-27/DDD_010553994/DDD:ddd:010553994:mpeg21.didl.xml.gz.xml,../data/1950/04-27/DDD_010553994,Gereformeerd gezinsblad / hoofdred. P. Jongeling,1950-04-27,Rotterdam,Stichting De Vrĳe Kerk,Nederlands Dagblad,6,226,nl
11,11,DDD:ddd:011210700:mpeg21.didl.xml.gz.xml,1950-04-27,11,../data/1950/04-27/DDD_011210700/DDD:ddd:011210700:mpeg21.didl.xml.gz.xml,../data/1950/04-27/DDD_011210700,De vrije pers : ochtendbulletin,1950-04-27,[Soerabaia],De Vrije Pers,Koninklijke Bibliotheek NBM C 1136,2,182,nl
12,12,DDD:ddd:011185166:mpeg21.didl.xml.gz.xml,1950-04-27,12,../data/1950/04-27/DDD_011185166/DDD:ddd:011185166:mpeg21.didl.xml.gz.xml,../data/1950/04-27/DDD_011185166,De Volksvriend,1950-04-27,"Orange City, Iowa",Henry Hospers,Roosevelt Study Center,76,29,nl
13,13,DDD:ddd:010950281:mpeg21.didl.xml.gz.xml,1950-04-27,13,../data/1950/04-27/DDD_010950281/DDD:ddd:010950281:mpeg21.didl.xml.gz.xml,../data/1950/04-27/DDD_010950281,Het vrĳe volk : democratisch-socialistisch dagblad,1950-04-27,Rotterdam,De Arbeiderspers,Gemeentearchief Rotterdam,5,1508,nl
14,14,DDD:ddd:010417468:mpeg21.didl.xml.gz.xml,1950-04-27,14,../data/1950/04-27/DDD_010417468/DDD:ddd:010417468:mpeg21.didl.xml.gz.xml,../data/1950/04-27/DDD_010417468,Limburgsch dagblad,1950-04-27,Heerlen,Nieuwe Limburger koerier;Uitgeversmaatschappĳ Limburgs Dagblad,Sociaal Historisch centrum voor Limburg T 501,33,99,nl
15,16,DDD:ddd:010733843:mpeg21.didl.xml.gz.xml,1950-04-27,16,../data/1950/04-27/DDD_010733843/DDD:ddd:010733843:mpeg21.didl.xml.gz.xml,../data/1950/04-27/DDD_010733843,Nieuwsblad van Friesland : Hepkema's courant,1950-04-27,Heerenveen,J. Hepkema,Tresoar,76,50,nl
16,17,DDD:ddd:011218883:mpeg21.didl.xml.gz.xml,1950-04-27,17,../data/1950/04-27/DDD_011218883/DDD:ddd:011218883:mpeg21.didl.xml.gz.xml,../data/1950/04-27/DDD_011218883,De Surinamer : nieuws- en advertentieblad,1950-04-27,[Paramaribo],Timmerman,Koninklijke Bibliotheek 1608 C 7,57,6693,nl
17,18,DDD:ddd:010403218:mpeg21.didl.xml.gz.xml,1950-03-30,18,../data/1950/03-30/DDD_010403218/DDD:ddd:010403218:mpeg21.didl.xml.gz.xml,../data/1950/03-30/DDD_010403218,Amigoe di Curacao : weekblad voor de Curacaosche eilanden,1950-03-30,[Willemstad,NV Paulus Drukkerĳ,KB C 251,67,7829,nl
18,20,DDD:ddd:010950434:mpeg21.didl.xml.gz.xml,1950-03-30,20,../data/1950/03-30/DDD_010950434/DDD:ddd:010950434:mpeg21.didl.xml.gz.xml,../data/1950/03-30/DDD_010950434,Het vrĳe volk : democratisch-socialistisch dagblad,1950-03-30,Rotterdam,De Arbeiderspers,Gemeentearchief Rotterdam,5,1486,nl
19,21,DDD:ddd:011199741:mpeg21.didl.xml.gz.xml,1950-03-30,21,../data/1950/03-30/DDD_011199741/DDD:ddd:011199741:mpeg21.didl.xml.gz.xml,../data/1950/03-30/DDD_011199741,De Tĳd : godsdienstig-staatkundig dagblad,1950-03-30,'s-Hertogenbosch,Gebr. Verhoeven,Koninklijke Bibliotheek C 236,105,34391,nl
20,22,DDD:ddd:010865729:mpeg21.didl.xml.gz.xml,1950-03-30,22,../data/1950/03-30/DDD_010865729/DDD:ddd:010865729:mpeg21.didl.xml.gz.xml,../data/1950/03-30/DDD_010865729,"Java-bode : nieuws, handels- en advertentieblad voor Nederlandsch-Indie",1950-03-30,Batavia,Bruining,Koninklijk Instituut voor de Tropen (KIT) L 5000,98,197,nl
21,23,DDD:ddd:110584850:mpeg21.didl.xml.gz.xml,1950-03-30,23,../data/1950/03-30/DDD_110584850/DDD:ddd:110584850:mpeg21.didl.xml.gz.xml,../data/1950/03-30/DDD_110584850,De Telegraaf,1950-03-30,Amsterdam,Dagblad De Telegraaf,KB C 98,53,19486,nl
22,24,DDD:ddd:011185162:mpeg21.didl.xml.gz.xml,1950-03-30,24,../data/1950/03-30/DDD_011185162/DDD:ddd:011185162:mpeg21.didl.xml.gz.xml,../data/1950/03-30/DDD_011185162,De Volksvriend,1950-03-30,"Orange City, Iowa",Henry Hospers,Roosevelt Study Center,76,25,nl
23,25,DDD:ddd:011155325:mpeg21.didl.xml.gz.xml,1950-03-30,25,../data/1950/03-30/DDD_011155325/DDD:ddd:011155325:mpeg21.didl.xml.gz.xml,../data/1950/03-30/DDD_011155325,De Gooi- en Eemlander : nieuws- en advertentieblad,1950-03-30,Hilversum,Joh. Geradtsen comp.,Koninklijke Bibliotheek MM03C-101551,78,12254,nl
24,26,DDD:ddd:010553982:mpeg21.didl.xml.gz.xml,1950-03-30,26,../data/1950/03-30/DDD_010553982/DDD:ddd:010553982:mpeg21.didl.xml.gz.xml,../data/1950/03-30/DDD_010553982,Gereformeerd gezinsblad / hoofdred. P. Jongeling,1950-03-30,Rotterdam,Stichting De Vrĳe Kerk,Nederlands Dagblad,6,214,nl
25,27,DDD:ddd:011210678:mpeg21.didl.xml.gz.xml,1950-03-30,27,../data/1950/03-30/DDD_011210678/DDD:ddd:011210678:mpeg21.didl.xml.gz.xml,../data/1950/03-30/DDD_011210678,De vrije pers : ochtendbulletin,1950-03-30,[Soerabaia],De Vrije Pers,Koninklijke Bibliotheek NBM C 1136,2,160,nl
26,29,DDD:ddd:010417445:mpeg21.didl.xml.gz.xml,1950-03-30,29,../data/1950/03-30/DDD_010417445/DDD:ddd:010417445:mpeg21.didl.xml.gz.xml,../data/1950/03-30/DDD_010417445,Limburgsch dagblad,1950-03-30,Heerlen,Nieuwe Limburger koerier;Uitgeversmaatschappĳ Limburgs Dagblad,Sociaal Historisch centrum voor Limburg T 501,33,76,nl
27,30,DDD:ddd:010850976:mpeg21.didl.xml.gz.xml,1950-03-30,30,../data/1950/03-30/DDD_010850976/DDD:ddd:010850976:mpeg21.didl.xml.gz.xml,../data/1950/03-30/DDD_010850976,De waarheid,1950-03-30,Amsterdam,s.n.,Internationaal Instituut voor Sociale Geschiedenis ZF 40364,9,278,nl
28,31,DDD:ddd:010862646:mpeg21.didl.xml.gz.xml,1950-03-30,31,../data/1950/03-30/DDD_010862646/DDD:ddd:010862646:mpeg21.didl.xml.gz.xml,../data/1950/03-30/DDD_010862646,De locomotief : Samarangsch handels- en advertentie-blad,1950-03-30,Semarang,"De Groot, Kolff & Co",Koninklijk Instituut voor de Tropen (KIT) L5016,98,176,nl
29,32,DDD:ddd:010886587:mpeg21.didl.xml.gz.xml,1950-03-30,32,../data/1950/03-30/DDD_010886587/DDD:ddd:010886587:mpeg21.didl.xml.gz.xml,../data/1950/03-30/DDD_010886587,Nieuwsblad van het Noorden,1950-03-30,Groningen,Nieuwenhuis,Groninger archieven 649-1316,63,76,nl
30,33,DDD:ddd:010475592:mpeg21.didl.xml.gz.xml,1950-03-30,33,../data/1950/03-30/DDD_010475592/DDD:ddd:010475592:mpeg21.didl.xml.gz.xml,../data/1950/03-30/DDD_010475592,Het nieuwsblad voor Sumatra,1950-03-30,Medan,Deli Courant en De Sumatra post,KB C 937,3,524,nl
31,34,DDD:ddd:010480495:mpeg21.didl.xml.gz.xml,1950-03-30,34,../data/1950/03-30/DDD_010480495/DDD:ddd:010480495:mpeg21.didl.xml.gz.xml,../data/1950/03-30/DDD_010480495,Het nieuws : algemeen dagblad,1950-03-30,Paramaribo,A.J. Morpurgo,KB C 197,7,2026,nl
32,35,DDD:ddd:011218871:mpeg21.didl.xml.gz.xml,1950-03-30,35,../data/1950/03-30/DDD_011218871/DDD:ddd:011218871:mpeg21.didl.xml.gz.xml,../data/1950/03-30/DDD_011218871,De Surinamer : nieuws- en advertentieblad,1950-03-30,[Paramaribo],Timmerman,Koninklijke Bibliotheek 1608 C 7,57,6681,nl
33,36,DDD:ddd:010475606:mpeg21.didl.xml.gz.xml,1950-04-18,36,../data/1950/04-18/DDD_010475606/DDD:ddd:010475606:mpeg21.didl.xml.gz.xml,../data/1950/04-18/DDD_010475606,Het nieuwsblad voor Sumatra,1950-04-18,Medan,Deli Courant en De Sumatra post,KB C 937,3,538,nl
34,38,DDD:ddd:010865742:mpeg21.didl.xml.gz.xml,1950-04-18,38,../data/1950/04-18/DDD_010865742/DDD:ddd:010865742:mpeg21.didl.xml.gz.xml,../data/1950/04-18/DDD_010865742,"Java-bode : nieuws, handels- en advertentieblad voor Nederlandsch-Indie",1950-04-18,Batavia,Bruining,Koninklijk Instituut voor de Tropen (KIT) L 5000,98,211,nl
35,39,DDD:ddd:010553990:mpeg21.didl.xml.gz.xml,1950-04-18,39,../data/1950/04-18/DDD_010553990/DDD:ddd:010553990:mpeg21.didl.xml.gz.xml,../data/1950/04-18/DDD_010553990,Gereformeerd gezinsblad / hoofdred. P. Jongeling,1950-04-18,Rotterdam,Stichting De Vrĳe Kerk,Nederlands Dagblad,6,222,nl
36,40,DDD:ddd:010852526:mpeg21.didl.xml.gz.xml,1950-04-18,40,../data/1950/04-18/DDD_010852526/DDD:ddd:010852526:mpeg21.didl.xml.gz.xml,../data/1950/04-18/DDD_010852526,De waarheid,1950-04-18,Amsterdam,s.n.,Internationaal Instituut voor Sociale Geschiedenis ZF 40364,9,293,nl
37,41,DDD:ddd:011155340:mpeg21.didl.xml.gz.xml,1950-04-18,41,../data/1950/04-18/DDD_011155340/DDD:ddd:011155340:mpeg21.didl.xml.gz.xml,../data/1950/04-18/DDD_011155340,De Gooi- en Eemlander : nieuws- en advertentieblad,1950-04-18,Hilversum,Joh. Geradtsen comp.,Koninklijke Bibliotheek MM03C-101551,78,12269,nl
38,42,DDD:ddd:010403232:mpeg21.didl.xml.gz.xml,1950-04-18,42,../data/1950/04-18/DDD_010403232/DDD:ddd:010403232:mpeg21.didl.xml.gz.xml,../data/1950/04-18/DDD_010403232,Amigoe di Curacao : weekblad voor de Curacaosche eilanden,1950-04-18,[Willemstad,NV Paulus Drukkerĳ,KB C 251,67,7843,nl
39,43,DDD:ddd:010862659:mpeg21.didl.xml.gz.xml,1950-04-18,43,../data/1950/04-18/DDD_010862659/DDD:ddd:010862659:mpeg21.didl.xml.gz.xml,../data/1950/04-18/DDD_010862659,De locomotief : Samarangsch handels- en advertentie-blad,1950-04-18,Semarang,"De Groot, Kolff & Co",Koninklijk Instituut voor de Tropen (KIT) L5016,98,189,nl
40,44,DDD:ddd:011210692:mpeg21.didl.xml.gz.xml,1950-04-18,44,../data/1950/04-18/DDD_011210692/DDD:ddd:011210692:mpeg21.didl.xml.gz.xml,../data/1950/04-18/DDD_011210692,De vrije pers : ochtendbulletin,1950-04-18,[Soerabaia],De Vrije Pers,Koninklijke Bibliotheek NBM C 1136,2,174,nl
41,45,DDD:ddd:010480509:mpeg21.didl.xml.gz.xml,1950-04-18,45,../data/1950/04-18/DDD_010480509/DDD:ddd:010480509:mpeg21.didl.xml.gz.xml,../data/1950/04-18/DDD_010480509,Het nieuws : algemeen dagblad,1950-04-18,Paramaribo,A.J. Morpurgo,KB C 197,7,2040,nl
42,46,DDD:ddd:110637379:mpeg21.didl.xml.gz.xml,1950-04-18,46,../data/1950/04-18/DDD_110637379/DDD:ddd:110637379:mpeg21.didl.xml.gz.xml,../data/1950/04-18/DDD_110637379,De West : nieuwsblad uit en voor Suriname,1950-04-18,Paramaribo,W. Kraan,Koninklijke Bibliotheek,41,5079,nl
43,48,DDD:ddd:011199756:mpeg21.didl.xml.gz.xml,1950-04-18,48,../data/1950/04-18/DDD_011199756/DDD:ddd:011199756:mpeg21.didl.xml.gz.xml,../data/1950/04-18/DDD_011199756,De Tĳd : godsdienstig-staatkundig dagblad,1950-04-18,'s-Hertogenbosch,Gebr. Verhoeven,Koninklijke Bibliotheek C 236,105,34406,nl
44,49,DDD:ddd:110584865:mpeg21.didl.xml.gz.xml,1950-04-18,49,../data/1950/04-18/DDD_110584865/DDD:ddd:110584865:mpeg21.didl.xml.gz.xml,../data/1950/04-18/DDD_110584865,De Telegraaf,1950-04-18,Amsterdam,Dagblad De Telegraaf,KB C 98,53,19501,nl
45,50,DDD:ddd:010417460:mpeg21.didl.xml.gz.xml,1950-04-18,50,../data/1950/04-18/DDD_010417460/DDD:ddd:010417460:mpeg21.didl.xml.gz.xml,../data/1950/04-18/DDD_010417460,Limburgsch dagblad,1950-04-18,Heerlen,Nieuwe Limburger koerier;Uitgeversmaatschappĳ Limburgs Dagblad,Sociaal Historisch centrum voor Limburg T 501,33,91,nl
46,51,DDD:ddd:011218879:mpeg21.didl.xml.gz.xml,1950-04-18,51,../data/1950/04-18/DDD_011218879/DDD:ddd:011218879:mpeg21.didl.xml.gz.xml,../data/1950/04-18/DDD_011218879,De Surinamer : nieuws- en advertentieblad,1950-04-18,[Paramaribo],Timmerman,Koninklijke Bibliotheek 1608 C 7,57,6689,nl
47,52,DDD:ddd:010950447:mpeg21.didl.xml.gz.xml,1950-04-18,52,../data/1950/04-18/DDD_010950447/DDD:ddd:010950447:mpeg21.didl.xml.gz.xml,../data/1950/04-18/DDD_010950447,Het vrĳe volk : democratisch-socialistisch dagblad,1950-04-18,Rotterdam,De Arbeiderspers,Gemeentearchief Rotterdam,5,1500,nl
48,53,DDD:ddd:010475608:mpeg21.didl.xml.gz.xml,1950-04-20,53,../data/1950/04-20/DDD_010475608/DDD:ddd:010475608:mpeg21.didl.xml.gz.xml,../data/1950/04-20/DDD_010475608,Het nieuwsblad voor Sumatra,1950-04-20,Medan,Deli Courant en De Sumatra post,KB C 937,3,540,nl
49,55,DDD:ddd:110637381:mpeg21.didl.xml.gz.xml,1950-04-20,55,../data/1950/04-20/DDD_110637381/DDD:ddd:110637381:mpeg21.didl.xml.gz.xml,../data/1950/04-20/DDD_110637381,De West : nieuwsblad uit en voor Suriname,1950-04-20,Paramaribo,W. Kraan,Koninklijke Bibliotheek,41,5081,nl
50,56,DDD:ddd:010553991:mpeg21.didl.xml.gz.xml,1950-04-20,56,../data/1950/04-20/DDD_010553991/DDD:ddd:010553991:mpeg21.didl.xml.gz.xml,../data/1950/04-20/DDD_010553991,Gereformeerd gezinsblad / hoofdred. P. Jongeling,1950-04-20,Rotterdam,Stichting De Vrĳe Kerk,Nederlands Dagblad,6,223,nl
51,58,DDD:ddd:010865744:mpeg21.didl.xml.gz.xml,1950-04-20,58,../data/1950/04-20/DDD_010865744/DDD:ddd:010865744:mpeg21.didl.xml.gz.xml,../data/1950/04-20/DDD_010865744,"Java-bode : nieuws, handels- en advertentieblad voor Nederlandsch-Indie",1950-04-20,Batavia,Bruining,Koninklijk Instituut voor de Tropen (KIT) L 5000,98,213,nl
52,59,DDD:ddd:110584867:mpeg21.didl.xml.gz.xml,1950-04-20,59,../data/1950/04-20/DDD_110584867/DDD:ddd:110584867:mpeg21.didl.xml.gz.xml,../data/1950/04-20/DDD_110584867,De Telegraaf,1950-04-20,Amsterdam,Dagblad De Telegraaf,KB C 98,53,19503,nl
53,60,DDD:ddd:010852528:mpeg21.didl.xml.gz.xml,1950-04-20,60,../data/1950/04-20/DDD_010852528/DDD:ddd:010852528:mpeg21.didl.xml.gz.xml,../data/1950/04-20/DDD_010852528,De waarheid,1950-04-20,Amsterdam,s.n.,Internationaal Instituut voor Sociale Geschiedenis ZF 40364,9,295,nl
54,61,DDD:ddd:011185165:mpeg21.didl.xml.gz.xml,1950-04-20,61,../data/1950/04-20/DDD_011185165/DDD:ddd:011185165:mpeg21.didl.xml.gz.xml,../data/1950/04-20/DDD_011185165,De Volksvriend,1950-04-20,"Orange City, Iowa",Henry Hospers,Roosevelt Study Center,76,28,nl
55,62,DDD:ddd:010417462:mpeg21.didl.xml.gz.xml,1950-04-20,62,../data/1950/04-20/DDD_010417462/DDD:ddd:010417462:mpeg21.didl.xml.gz.xml,../data/1950/04-20/DDD_010417462,Limburgsch dagblad,1950-04-20,Heerlen,Nieuwe Limburger koerier;Uitgeversmaatschappĳ Limburgs Dagblad,Sociaal Historisch centrum voor Limburg T 501,33,93,nl
56,63,DDD:ddd:011218880:mpeg21.didl.xml.gz.xml,1950-04-20,63,../data/1950/04-20/DDD_011218880/DDD:ddd:011218880:mpeg21.didl.xml.gz.xml,../data/1950/04-20/DDD_011218880,De Surinamer : nieuws- en advertentieblad,1950-04-20,[Paramaribo],Timmerman,Koninklijke Bibliotheek 1608 C 7,57,6690,nl
57,64,DDD:ddd:010403234:mpeg21.didl.xml.gz.xml,1950-04-20,64,../data/1950/04-20/DDD_010403234/DDD:ddd:010403234:mpeg21.didl.xml.gz.xml,../data/1950/04-20/DDD_010403234,Amigoe di Curacao : weekblad voor de Curacaosche eilanden,1950-04-20,[Willemstad,NV Paulus Drukkerĳ,KB C 251,67,7845,nl
58,65,DDD:ddd:010480511:mpeg21.didl.xml.gz.xml,1950-04-20,65,../data/1950/04-20/DDD_010480511/DDD:ddd:010480511:mpeg21.didl.xml.gz.xml,../data/1950/04-20/DDD_010480511,Het nieuws : algemeen dagblad,1950-04-20,Paramaribo,A.J. Morpurgo,KB C 197,7,2042,nl
59,66,DDD:ddd:011210694:mpeg21.didl.xml.gz.xml,1950-04-20,66,../data/1950/04-20/DDD_011210694/DDD:ddd:011210694:mpeg21.didl.xml.gz.xml,../data/1950/04-20/DDD_011210694,De vrije pers : ochtendbulletin,1950-04-20,[Soerabaia],De Vrije Pers,Koninklijke Bibliotheek NBM C 1136,2,176,nl
60,67,DDD:ddd:010862531:mpeg21.didl.xml.gz.xml,1950-04-20,67,../data/1950/04-20/DDD_010862531/DDD:ddd:010862531:mpeg21.didl.xml.gz.xml,../data/1950/04-20/DDD_010862531,De locomotief : Samarangsch handels- en advertentie-blad,1950-04-20,Semarang,"De Groot, Kolff & Co",Koninklijk Instituut voor de Tropen (KIT) L5016,98,191,nl
61,68,DDD:ddd:011155342:mpeg21.didl.xml.gz.xml,1950-04-20,68,../data/1950/04-20/DDD_011155342/DDD:ddd:011155342:mpeg21.didl.xml.gz.xml,../data/1950/04-20/DDD_011155342,De Gooi- en Eemlander : nieuws- en advertentieblad,1950-04-20,Hilversum,Joh. Geradtsen comp.,Koninklijke Bibliotheek MM03C-101551,78,12271,nl
62,69,DDD:ddd:011199758:mpeg21.didl.xml.gz.xml,1950-04-20,69,../data/1950/04-20/DDD_011199758/DDD:ddd:011199758:mpeg21.didl.xml.gz.xml,../data/1950/04-20/DDD_011199758,De Tĳd : godsdienstig-staatkundig dagblad,1950-04-20,'s-Hertogenbosch,Gebr. Verhoeven,Koninklijke Bibliotheek C 236,105,34408,nl
63,70,DDD:ddd:010950449:mpeg21.didl.xml.gz.xml,1950-04-20,70,../data/1950/04-20/DDD_010950449/DDD:ddd:010950449:mpeg21.didl.xml.gz.xml,../data/1950/04-20/DDD_010950449,Het vrĳe volk : democratisch-socialistisch dagblad,1950-04-20,Rotterdam,De Arbeiderspers,Gemeentearchief Rotterdam,5,1502,nl
64,71,DDD:ddd:010417627:mpeg21.didl.xml.gz.xml,1950-07-07,71,../data/1950/07-07/DDD_010417627/DDD:ddd:010417627:mpeg21.didl.xml.gz.xml,../data/1950/07-07/DDD_010417627,Limburgsch dagblad,1950-07-07,Heerlen,Nieuwe Limburger koerier;Uitgeversmaatschappĳ Limburgs Dagblad,Sociaal Historisch centrum voor Limburg T 501,33,158,nl
65,72,DDD:ddd:010537532:mpeg21.didl.xml.gz.xml,1950-07-07,72,../data/1950/07-07/DDD_010537532/DDD:ddd:010537532:mpeg21.didl.xml.gz.xml,../data/1950/07-07/DDD_010537532,De Heerenveensche koerier : onafhankelĳk dagblad voor Midden-Zuid-Oost-Friesland en Noord-Overĳssel,1950-07-07,Leeuwarden [etc.],Stichting Je Maintiendrai Friesland,KB C 199,6,157,nl
66,73,DDD:ddd:010476476:mpeg21.didl.xml.gz.xml,1950-07-07,73,../data/1950/07-07/DDD_010476476/DDD:ddd:010476476:mpeg21.didl.xml.gz.xml,../data/1950/07-07/DDD_010476476,Het nieuwsblad voor Sumatra,1950-07-07,Medan,Deli Courant en De Sumatra post,KB C 937,3,602,nl
67,75,DDD:ddd:010865369:mpeg21.didl.xml.gz.xml,1950-07-07,75,../data/1950/07-07/DDD_010865369/DDD:ddd:010865369:mpeg21.didl.xml.gz.xml,../data/1950/07-07/DDD_010865369,"Java-bode : nieuws, handels- en advertentieblad voor Nederlandsch-Indie",1950-07-07,Batavia,Bruining,Koninklijk Instituut voor de Tropen (KIT) L 5000,98,276,nl
68,76,DDD:ddd:010480575:mpeg21.didl.xml.gz.xml,1950-07-07,76,../data/1950/07-07/DDD_010480575/DDD:ddd:010480575:mpeg21.didl.xml.gz.xml,../data/1950/07-07/DDD_010480575,Het nieuws : algemeen dagblad,1950-07-07,Paramaribo,A.J. Morpurgo,KB C 197,7,2106,nl
69,78,DDD:ddd:010987646:mpeg21.didl.xml.gz.xml,1950-07-07,78,../data/1950/07-07/DDD_010987646/DDD:ddd:010987646:mpeg21.didl.xml.gz.xml,../data/1950/07-07/DDD_010987646,Amigoe di Curacao : weekblad voor de Curacaosche eilanden,1950-07-07,[Willemstad,NV Paulus Drukkerĳ,Koninklijke Bibliotheek C 251,67,7909,nl
70,79,DDD:ddd:010950481:mpeg21.didl.xml.gz.xml,1950-07-07,79,../data/1950/07-07/DDD_010950481/DDD:ddd:010950481:mpeg21.didl.xml.gz.xml,../data/1950/07-07/DDD_010950481,Het vrĳe volk : democratisch-socialistisch dagblad,1950-07-07,Rotterdam,De Arbeiderspers,Gemeentearchief Rotterdam,5,1566,nl
71,80,DDD:ddd:011155407:mpeg21.didl.xml.gz.xml,1950-07-07,80,../data/1950/07-07/DDD_011155407/DDD:ddd:011155407:mpeg21.didl.xml.gz.xml,../data/1950/07-07/DDD_011155407,De Gooi- en Eemlander : nieuws- en advertentieblad,1950-07-07,Hilversum,Joh. Geradtsen comp.,Koninklijke Bibliotheek MM03C-101552,79,12336,nl
72,81,DDD:ddd:010887111:mpeg21.didl.xml.gz.xml,1950-07-07,81,../data/1950/07-07/DDD_010887111/DDD:ddd:010887111:mpeg21.didl.xml.gz.xml,../data/1950/07-07/DDD_010887111,Nieuwsblad van het Noorden,1950-07-07,Groningen,Nieuwenhuis,Groninger archieven 649-1318,63,156,nl
73,82,DDD:ddd:010852442:mpeg21.didl.xml.gz.xml,1950-07-07,82,../data/1950/07-07/DDD_010852442/DDD:ddd:010852442:mpeg21.didl.xml.gz.xml,../data/1950/07-07/DDD_010852442,De waarheid,1950-07-07,Amsterdam,s.n.,Internationaal Instituut voor Sociale Geschiedenis ZF 40364,10,357,nl
74,83,DDD:ddd:110585088:mpeg21.didl.xml.gz.xml,1950-07-07,83,../data/1950/07-07/DDD_110585088/DDD:ddd:110585088:mpeg21.didl.xml.gz.xml,../data/1950/07-07/DDD_110585088,De Telegraaf,1950-07-07,Amsterdam,Dagblad De Telegraaf,KB C 98,53,19567,nl
75,84,DDD:ddd:010900204:mpeg21.didl.xml.gz.xml,1950-07-07,84,../data/1950/07-07/DDD_010900204/DDD:ddd:010900204:mpeg21.didl.xml.gz.xml,../data/1950/07-07/DDD_010900204,De locomotief : Samarangsch handels- en advertentie-blad,1950-07-07,Semarang,"De Groot, Kolff & Co",Koninklijk Instituut voor de Tropen (KIT) L5016,98,253,nl
76,86,DDD:ddd:011210755:mpeg21.didl.xml.gz.xml,1950-07-07,86,../data/1950/07-07/DDD_011210755/DDD:ddd:011210755:mpeg21.didl.xml.gz.xml,../data/1950/07-07/DDD_011210755,De vrije pers : ochtendbulletin,1950-07-07,[Soerabaia],De Vrije Pers,Koninklijke Bibliotheek NBM C 1136,2,239,nl
