,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,article_filepath,article_name,count,date,dir,index_article,index_metadata,metadata_filepath,metadata_title,newspaper_city,newspaper_date,newspaper_issuenumber,newspaper_language,newspaper_publisher,newspaper_source,newspaper_title,newspaper_volume,accuracy_selection,text,text_clean,type,energy,sentiment
79,89,2780,2780,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1990/01-20/DDD_010567168/DDD_010567168_0536_articletext.xml,DDD_010567168_0536_articletext.xml,1,1990-01-20,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1990/01-20/DDD_010567168,2458663,,,,,,,,,,,,0.0714789377052358,"De nieuwe opleving van de gedachte aan kernenergie heeft veel te maken met de deplorabele toestand waarin ons milieu verkeert en vooral de aandacht daarvoor. Herhaaldelijk verwijst Arnold daar dan ook naar. „Een normaal werkende kerncentrale is een schone energiebron. Er is geen uitstoot van zwaveldioxyde of koolzuurgassen. Als men in Amsterdam bekvecht over de bouw van een kolen- of gasgestookte centrale met betrekking tot de uitstoot van kooldioxyde, zou je moeten bedenken dat één kerncentrale in plaats van een gas- of kolengestookte centrale een vermindering van de CO2 te weeg brengt, gelijk aan die van het hele Nederlandse autopark."" „We moeten op een breed front het milieu aanpakken. Als dat kan met kernenergie, maar dan wel maatschappelijk geaccepteerd, dan moetje dat doen."" Dit soort uitspraken wekt licht de indruk, dat de kernenergie-voorstanders handig gebruik maken van de zorg voor het milieu, zonder met nieuwe argumenten te komen om eerdere bezwaren te ontkrachten. Dat is iets wat Arnold sterk bestrijdt.",de opleving van de gedachte aan kernenergie heeft veel te maken met de deplorabele toestand waarin ons verkeert en vooral de aandacht daarvoor herhaaldelijk verwijst daar dan ook naar een normaal werkende kerncentrale is een schone energiebron er is geen van of als men in bekvecht over de van een of centrale met betrekking tot de van zo je moeten bedenken dat kerncentrale in plaats van een of centrale een vermindering van de te weeg brengt gelijk aan die van het hele we moeten op een breed front het aanpakken als dat kan met kernenergie maar dan wel maatschappelijk geaccepteerd dan moetje dat doen dit soort wekt licht de dat de handig maken van de zorg voor het zonder met te komen om eerdere bezwaren te ontkrachten dat is iets wat sterk bestrijdt,p,Y,NG
82,92,565,565,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1991/05-23/DDD_010559668/DDD_010559668_0141_articletext.xml,DDD_010559668_0141_articletext.xml,2,1991-05-23,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1991/05-23/DDD_010559668,3754312,,,,,,,,,,,,0.053627902296150574,"ARNHEM (ANP) - Directeur N. Ketting van de Samenwerkende Elektriciteits-Produktiebedrijven (SEP) voorziet dat de, Europees gezien, zeer lage stroomtarieven van de SEP onevenredig zwaar zullen worden getroffen door nieuwe of hogere milieuheffingen op het gebruik van fossiele brandstoffen (olie, gas, kolen). Dat zei hij gisteren bij de presentatie van het jaarverslag over 1990. „Het brandstoffenpakket in de Nederlandse centrales bestaat immers vrijwel geheel uit gas (51 procent) en kolen (44 procent). In de meeste Europese landen ziet het brandstofpakket er heel anders uit. Kernenergie maakt daar een belangrijk onderdeel uit van de brandstof inzet. (Frankrijk 80 procent; België 70; Duitsland 35; Nederland 5 procent). „In de ons omringende landen zal de milieuheffing dus aanzienlijk minder stevig uitpakken"", zo voorspelde Ketting",directer ketting van de samenwerkende voorziet dat de gezien zeer lage van de onevenredig zwaar worden getroffen door of hogere op het van fossiele brandstoffen olie gas kolen dat zei hij gisteren bij de presentatie van het jaarverslag over het in de centrales bestaat immers vrijwel geheel gas procent en kolen procent in de meeste landen ziet het er heel anders kernenergie maakt daar een belangrijk onderdeel van de brandstof inzet procent procent in de ons omringende landen zal de aanzienlijk minder stevig zo voorspelde ketting,p,Y,NG
83,94,1736,1736,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1990/04-17/DDD_010963515/DDD_010963515_0176_articletext.xml,DDD_010963515_0176_articletext.xml,1,1990-04-17,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1990/04-17/DDD_010963515,2397004,6120.0,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1990/04-17/DDD_010963515/DDD:ddd:010963515:mpeg21.didl.xml.gz.xml,DDD:ddd:010963515:mpeg21.didl.xml.gz.xml,Rotterdam,1990-04-17,13152.0,nl,De Arbeiderspers,Gemeentearchief Rotterdam,Het vrĳe volk : democratisch-socialistisch dagblad,45.0,0.03652598064702383,als kolen en gas. Bij die verbranding komt koolzuurgas vrij dat volgens de wetenschap voor een groot deel verantwoordelijk is voor het broeikaseffect.,als kolen en gas bij die verbranding komt vrij dat volgens de wetenschap voor een groot deel verantwoordelijk is voor het broeikaseffect,p,Y,NG
84,96,1642,1642,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1990/08-24/DDD_010567350/DDD_010567350_0207_articletext.xml,DDD_010567350_0207_articletext.xml,1,1990-08-24,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1990/08-24/DDD_010567350,2380093,,,,,,,,,,,,0.0534352736613023,"Minister Alders van milieubeheer toonde zich in een eerste reactie terughoudend over de inhoud van het rapport. De bewindsman sprak van 'waardevol materiaal', dat betrokken dient te worden in verdere discussies over het broeikaseffect. Hij mist in het rapport een overzicht van de gevolgen van dergelijke 'vérgaande' doelstellingen voor de samenleving, het bedrijfsleven en de politiek. Natuur en Milieu en Milieudefensie hechten zeer aan regelgeving om dé door hen gestelde doelen te bereiken. Verder achten zij een trendbreuk nodig op verkeersgebied, de landbouw, het gebruik van grondstoffen, en energie-intensieve groei van produktie en consumptie. De organisaties zijn ook voorstander van een zogeheten regulerende heffing op brandstof. Kooldioxyde. het belangrijkste broeikasgas, komt vrij bij de verbranding van fossiele brandstoffen zoals olie, kolen en gas. Per kilo uitgestoten CO2 zou een heffing van 15 cent moeten gelden.",minister van toonde zich in een eerste reactie over de van het rapport de bewindsman sprak van materiaal dat betrokken dient te worden in verdere over het broeikaseffect hij mist in het rapport een overzicht van de gevolgen van dergelijke doelstellingen voor de samenleving het bedrijfsleven en de politiek en en hechten zeer aan regelgeving om door hen gestelde doelen te bereiken verder achten zij een nodig op verkeersgebied de het van grondstoffen en groei van en de organisaties zijn ook voorstander van een zogeheten heffing op brandstof het belangrijkste komt vrij bij de verbranding van fossiele brandstoffen zoals olie kolen en gas per kilo zo een heffing van cent moeten gelden,p,Y,NG
85,97,1228,1228,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1990/11-09/DDD_011019490/DDD_011019490_0517_articletext.xml,DDD_011019490_0517_articletext.xml,1,1990-11-09,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1990/11-09/DDD_011019490,3029741,7787.0,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1990/11-09/DDD_011019490/DDD:ddd:011019490:mpeg21.didl.xml.gz.xml,DDD:ddd:011019490:mpeg21.didl.xml.gz.xml,Groningen,1990-11-09,265.0,nl,Nieuwenhuis,Groninger archieven,Nieuwsblad van het Noorden,103.0,0.08598078972835346,"Geheel onverwacht is het ozontekort boven het reusachtige continent Antarctica deze herfst bijna even ernstig als in het 'recordjaar' 1987. Dat blijkt uit nieuwe satellietmetingen. Na enkele jaren van betrekkelijke 'rust' blijkt dit jaar van een nieuw dieptepunt sprake te zijn; geleerden zien hierin eens te meer aanleiding om het ozontekort toe te schrijven aan menselijke activiteiten. Onderzoekers van NASA's Goddard Space Flight Center (GSFC) maakten eind oktober alarmerende resultaten bekend van een groot aantal metingen van het ozongehalte boven het ijscontinent Antarctica. De metingen werden de afgelopen herfstweken verkregen door satellieten, zoals onder andere de weersatelliet Nimbus-7. Boven Antarctica, gelegen op het Zuidelijk Halfrond, is het nu juist voorjaar en het is al jaren bekend dat zich boven dat werelddeel dan een 'ozongat' voordoet. Aan het eind van de Antarctische winter is de luchttemperatuur hoog in de dampkring (tussen 15 en 40 kilometer hoogte) extreem laag, waarbij de daar aanwezige ozonmoleculen, bestaande uit drie zuurstofatomen, het 'gevoeligst' voor afbraak (ontleding) zijn. Het ontleden van ozon, een gas dat, hoog in de dampkring, al het leven op het aardoppervlak beschermt tegen te veel schadelijke ultraviolette (uv) straling van de zon, geschiedt normaliter vooral door toedoen van dezelfde uv-straling of door toedoen van verbindingen tussen chloor, fluor en koolstof, de beruchte CFK's. Dit gas, dat onder andere wordt toegepast in spuitbussen, koel- en vrieskasten en verder in grote hoeveelheden wordt gebruikt bij de fabricage van piepschuim, wordt als de grootste boosdoener gezien bij de al aan het eind van de jaren zeventig geconstateerde ozontekorten boven Antarctica. De laatste tien jaar heeft men de gesteldheid van de ozonlaag boven het al vele tienduizenden jaren met een dikke ijskap bedekte werelddeel nauwlettend in het oog gehouden met behulp van satellieten zoals de Nimbus-7.",geheel onverwacht is het boven het continent deze herfst bijna even ernstig als in het dat blijkt na enkele jaren van betrekkelijke blijkt dit jaar van een sprake te zijn geleerden zien hierin eens te meer aanleiding om het toe te schrijven aan menselijke activiteiten onderzoekers van center maakten eind oktober alarmerende bekend van een groot aantal metingen van het boven het de metingen werden de afgelopen verkregen door satellieten zoals onder andere de weersatelliet boven gelegen op het halfrond is het voorjaar en het is al jaren bekend dat zich boven dat werelddeel dan een voordoet aan het eind van de antarctische winter is de hoog in de dampkring en kilometer hoogte extreem laag waarbij de daar aanwezige bestaande drie het voor afbraak ontleding zijn het ontleden van ozon een gas dat hoog in de dampkring al het leven op het aardoppervlak beschermt tegen te veel schadelijke straling van de geschiedt normaliter vooral door toedoen van dezelfde of door toedoen van verbindingen chloor flor en koolstof de dit gas dat onder andere wordt toegepast in en vrieskasten en verder in grote hoeveelheden wordt bij de fabricage van wordt als de grootste boosdoener gezien bij de al aan het eind van de jaren zeventig geconstateerde boven de laatste tien jaar heeft men de gesteldheid van de ozonlaag boven het al vele jaren met een dikke ijskap bedekte werelddeel in het oog met van satellieten zoals de,p,Y,NG
87,100,3794,3794,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1990/04-05/DDD_011019306/DDD_011019306_0221_articletext.xml,DDD_011019306_0221_articletext.xml,1,1990-04-05,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1990/04-05/DDD_011019306,2795676,7146.0,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1990/04-05/DDD_011019306/DDD:ddd:011019306:mpeg21.didl.xml.gz.xml,DDD:ddd:011019306:mpeg21.didl.xml.gz.xml,Groningen,1990-04-05,81.0,nl,Nieuwenhuis,Groninger archieven,Nieuwsblad van het Noorden,103.0,0.04387401714032762,"Het Worldwatch Institute, dat zich deze vraag stelde, signaleert overal een groeiend milieubewustzijn en is niet pessimistisch over een goede afloop. Het in Washington gevestigde centrum voor milieustudie durft het dan ook in zijn jongste jaarverslag aan om zijn gedachten te laten gaan over het aanzien van een wereld zonder milieuproblemen. Het centrum projecteert die in het jaar 2030, een tijdstip dat in de woorden van Worldwatch-directeur Lester Brown ""dichterbij ligt dan de Tweede Wereldoorlog"". Volgens het centrum kan in 2030 een samenleving zyn ingericht, waarin de elementaire levensbehoeften worden vervuld zonder het milieu en het leven van toekomstige generaties op het spel te zetten. Het centrum ziet bij die toekomstvisie even af van de vele voorspellingen dat een leefbare wereld een opgave van de lange adem is en binnen een luttele veertig jaar onhaalbaar is. De miliebewuste samenleving van de toekomst zal volgens het centrum het gebruik van fossiele brandstoffen als steenkool, aardolie en aardgas grotendeels hebben uitgebannen. Belangrijkste energieverschaffers zijn dan zon en wind. In tropische en subtropische gebieden zijn het grote zonne-e--nergiecentrales die in de stroombehoefte voorzien. In kustgebieden in de meer gematigde streken zijn windenergieparken de belangrijkste stroomleverancier. Ook andere al bestaande schone vormen van energie, zoals waterkracht, getijdenenergie en warmte-krachtkoppeling, zullen verder worden uitgebouwd. Aan een voorspelling over de rol van kernenergie waagt het centrum zich in het toekomstscenario niet vanwege de grote risico's van die energievorm waarvoor nog geen oplossingen zijn gevonden.",het dat zich deze vraag stelde signaleert overal een groeiend en is niet pessimistisch over een goede afloop het in gevestigde voor het dan ook in zijn jongste jaarverslag aan om zijn gedachten te laten gaan over het aanzien van een wereld zonder het projecteert die in het jaar een tijdstip dat in de woorden van dichterbij ligt dan de tweede wereldoorlog volgens het kan in een samenleving ingericht waarin de elementaire levensbehoeften worden zonder het en het leven van toekomstige generaties op het spel te zetten het ziet bij die toekomstvisie even af van de vele voorspellingen dat een leefbare wereld een opgave van de lange adem is en binnen een veertig jaar onhaalbaar is de samenleving van de toekomst zal volgens het het van fossiele brandstoffen als steenkool aardolie en aardgas grotendeels hebben belangrijkste zijn dan en wind in tropische en gebieden zijn het grote die in de voorzien in in de meer gematigde streken zijn de belangrijkste ook andere al bestaande schone vormen van energie zoals waterkracht getijdenenergie en verder worden aan een voorspelling over de rol van kernenergie waagt het zich in het toekomstscenario niet vanwege de grote risico van die waarvoor nog geen oplossingen zijn gevonden,p,Y,NG
90,103,789,789,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1993/12-23/DDD_011020448/DDD_011020448_0234_articletext.xml,DDD_011020448_0234_articletext.xml,2,1993-12-23,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1993/12-23/DDD_011020448,232391,586.0,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1993/12-23/DDD_011020448/DDD:ddd:011020448:mpeg21.didl.xml.gz.xml,DDD:ddd:011020448:mpeg21.didl.xml.gz.xml,Groningen,1993-12-23,302.0,nl,Nieuwenhuis,Groninger archieven,Nieuwsblad van het Noorden,106.0,0.1083794635789084,"Begin 1959 werd een boring verricht onder Kolham, de zogenoemde boring Slochteren-1. Op 22 juli werd gas aangeboord. Om hoeveel het toen ging, werd niet duidelijk. Er volgden in de jaren daarop nog diverse boringen in de regio Slochteren. Pas langzaam werd duidelijk dat het om een omvangrijk reservoir ging. De eerste schattingen spraken van 60 miljard kubieke meter gas. Later ging het al om 400 tot 500 miljard kuub. In 1963 werd de aardgashoeveelheid bepaald op 1100 miljard kubieke meter. Naar de huidige inzichten zat/zit er in de bel van Slochteren 2680 miljard kubieke meter gas. In het voorjaar van '63 werd de concessie Groningen verleend aan de NAM, die het veld ging exploiteren. In datzelfde jaar werd de NV Gasunie opgericht. Zij ging zich bezighouden met de verkoop en het transport van het aardgas. In de provincie Groningen was een serie puttengroepen (clusters) aangelegd. In 1976 waren dat er al 28, in 1986 kwam de laatste cluster, De Paauwen, tot stand. Daarmee waren op de Slochteren-bel 300 produktieputten geïnstalleerd, waarmee in principe 470 miljoen kubieke meter aardgas per kan kan worden geproduceerd. En dat is genoeg om Nederland onder alle omstandigheden probleemloos van aardgas te voorzien. Kilometers diep onder het Groninger landschap liggen steenkoollagen, die 350 miljoen jaar geleden gevormd werden uit afgestorven planten en bomen. De grondlagen boven die steenkool zorgden lange tijd voor een hoge druk en temperatuur, waardoor die steenkool werd omgezet in gas. Dat gas zocht zich een weg naar boven en kwam in microspcopisch kleine ruimtes terecht in de hoger gelegen zandsteenlagen. Een ondoordringbare zoutlaag daar weer boven voorkwam dat dit gas zich nog verder naar boven zou verspreiden. De Rotliegendeszandsteenlaag ligt op 2600 tot 3000 meter diepte en heeft een dikte van 70 tot 240 meter. Het gedeelte waarin zich gas bevindt is gemiddeld honderd meter dik.",begin werd een boring verricht onder de zogenoemde boring op werd gas aangeboord om hoeveel het toen ging werd niet er volgden in de jaren daarop nog diverse boringen in de regio pas langzaam werd dat het om een omvangrijk reservoir ging de eerste schattingen spraken van miljard meter gas later ging het al om tot miljard in werd de bepaald op miljard meter naar de inzichten er in de bel van miljard meter gas in het voorjaar van werd de concessie verleend aan de nam die het veld ging exploiteren in datzelfde jaar werd de opgericht zij ging zich met de verkoop en het transport van het aardgas in de provincie was een serie aangelegd in waren dat er al in kwam de laatste de tot stand daarmee waren op de ge waarmee in principe miljoen meter aardgas per kan kan worden en dat is genoeg om onder alle omstandigheden probleemloos van aardgas te voorzien kilometers diep onder het landschap liggen steenkoollagen die miljoen jaar geleden gevormd werden afgestorven planten en bomen de grondlagen boven die steenkool zorgden lange tijd voor een hoge en waardoor die steenkool werd omgezet in gas dat gas zocht zich een weg naar boven en kwam in kleine terecht in de hoger gelegen een ondoordringbare daar weer boven voorkwam dat dit gas zich nog verder naar boven zo verspreiden de ligt op tot meter diepte en heeft een dikte van tot meter het gedeelte waarin zich gas bevindt is gemiddeld honderd meter dik,p,Y,PO
91,105,1341,1341,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1991/12-17/DDD_010646558/DDD_010646558_0470_articletext.xml,DDD_010646558_0470_articletext.xml,1,1991-12-17,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1991/12-17/DDD_010646558,3891385,,,,,,,,,,,,0.058681098907807976,"Van een onzer verslaggevers DEN HAAG, dinsdag Premier Lubbers wil dat de deelnemers aan het Energie Handvest snel een datum afspreken waarop de bijbehorende juridisch bindende basisovereenkomst wordt ondertekend. De eerste projecten om met behulp van westerse kennis en kapitaal de energievoorraden in Oost-Europa tot ontwikkeling te brengen kunnen dan volgend jaar al van start gaan. „Het Handvest als politieke intentieverklaring is belangrijk, maar alleen samen scheppen zij de voorwaarden voor grootschalige investeringen en projecten,"" aldus de premier gisteren tijdens de opening van de tweedaagse ministersconferentie over het Handvest in Den Haag. Vandaag zullen vertegenwoordigers van 50 landen en de Europese Gemeenschap in de Haagse Ridderzaal officieel hun handtekening zetten onder het Europese Energie Handvest. Het Handvest, waartoe Lubbers zelf op de Euro-top in Dublin vorig jaar het initiatief nam, heeft als doel een politiek en economisch kader te scheppen, waarin het voor Westerse ondernemingen aantrekkelijk wordt in de voormalige Sovjet-Unie en andere Oosteuropese landen te investeren in olie- en gaswinning, energiebesparing, milieubescherming en beveiliging van kerncentrales. Daarvoor levert het westen kapitaal en technologie in ruil voor toekomstige leveranties, waardoor de westerse afhankelijkheid van energie uit het Midden-Oosten kleiner wordt. Bij het Handvest behoort een basisovereenkomst, waarover momenteel wordt onderhandeld. Deze overeenkomst omvat wettelijke regels voor investeringen, samenwerking tussen regeringen en bedrijven en voor geschillenbeslechting. Ten slotte moet ook een aantal aanvullende protocollen op energiegebied worden uitgewerkt. Over kernenergie, olie en gas wordt reeds gesproken, terwijl in januari een energiebesparing en milieu aan bod komen. Afspraken over elektriciteit en steenkool zijn echter ook dringend gewenst.",van een onzer verslaggevers dinsdag premier wil dat de deelnemers aan het energie handvest snel een afspreken waarop de bijbehorende bindende wordt ondertekend de eerste projecten om met van westerse kennis en kapitaal de in tot ontwikkeling te brengen dan volgend jaar al van start gaan het handvest als politieke intentieverklaring is belangrijk maar alleen samen scheppen zij de voorwaarden voor grootschalige investeringen en projecten de premier gisteren tijdens de opening van de tweedaagse over het handvest in vandaag vertegenwoordigers van landen en de gemeenschap in de ridderzaal officieel handtekening zetten onder het energie handvest het handvest waartoe zelf op de in vorig jaar het initiatief nam heeft als doel een politiek en economisch kader te scheppen waarin het voor westerse ondernemingen aantrekkelijk wordt in de voormalige en andere landen te investeren in en gaswinning energiebesparing en beveiliging van daarvoor levert het westen kapitaal en technologie in ril voor toekomstige leveranties waardoor de westerse afhankelijkheid van energie het kleiner wordt bij het handvest behoort een waarover momenteel wordt onderhandeld deze overeenkomst omvat wettelijke regels voor investeringen samenwerking regeringen en bedrijven en voor ten moet ook een aantal protocollen op worden over kernenergie olie en gas wordt reeds gesproken terwijl in een energiebesparing en aan bod komen afspraken over elektriciteit en steenkool zijn echter ook dringend gewenst,p,Y,PO
93,107,1970,1970,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1991/06-03/DDD_010567585/DDD_010567585_0347_articletext.xml,DDD_010567585_0347_articletext.xml,1,1991-06-03,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1991/06-03/DDD_010567585,3759383,,,,,,,,,,,,0.11580608176230688,"De nettoproduktie van de SEP daalde van 60.059 GWH tot 57.620 GWH, terwijl de import steeg van 5290 GWH tot 9678 GWH. Het in SEP-verband opgestelde produktievermogen daalde van 15.689 megawatt tot 15.142 megawatt. Het produktievermogen van de zelfopwekkers bleef stijgen tot ruim 2200 megawatt ofwel 13 procent van het totale vermogen om in ons land stroom op te wekken. De zelfopwekkers waren vorig jaar goed voor 16,5 procent van de in ons land geproduceerde elektrische energie. Het aandeel van kolen in de elektriciteitsproduktie steeg vorig jaar van 37,4 naar 45 procent, terwijl dat van gas daalde van 54,2 naar 47,6 procent. Het aandeel van uranium (kernenergie) daalde van 7,8 naar 7,1 procent en dat van olie van 0,6 naar 0,3 procent. De stijging van het thermisch rendement van de voorgaande jaren zette niet door. Het bedroeg vorig jaar 40,4 procent, evenals in 1989.",de van de daalde van tot terwijl de import steeg van tot het in opgestelde daalde van megawatt tot megawatt het van de bleef stijgen tot megawatt ofwel procent van het totale vermogen om in ons land stroom op te wekken de waren vorig jaar goed voor procent van de in ons land elektrische energie het aandeel van kolen in de steeg vorig jaar van naar procent terwijl dat van gas daalde van naar procent het aandeel van kernenergie daalde van naar procent en dat van olie van naar procent de stijging van het thermisch rendement van de voorgaande jaren zette niet door het bedroeg vorig jaar procent evenals in,p,Y,NE
95,109,3566,3566,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1992/10-22/DDD_011020076/DDD_011020076_0215_articletext.xml,DDD_011020076_0215_articletext.xml,1,1992-10-22,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1992/10-22/DDD_011020076,1966228,4995.0,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1992/10-22/DDD_011020076/DDD:ddd:011020076:mpeg21.didl.xml.gz.xml,DDD:ddd:011020076:mpeg21.didl.xml.gz.xml,Groningen,1992-10-22,250.0,nl,Nieuwenhuis,Groninger archieven,Nieuwsblad van het Noorden,105.0,0.10570377175365732,"Dat zou een advies kunnen opleveren, waarin elektriciteitscentrales worden gebonden aan kolen als brandstof. De prijs van stroom zou daardoor vermoedelijk stijgen. Maar tegenover goedkopere stroom via onder meer olie of gas, staan massa-ontslagen in de mijnbouw en de toeleveringsbedrijven.",dat zo een advies opleveren waarin elektriciteitscentrales worden gebonden aan kolen als brandstof de prijs van stroom zo daardoor vermoedelijk stijgen maar tegenover goedkopere stroom via onder meer olie of gas staan in de en de,p,Y,PO
96,110,3655,3655,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1992/05-15/DDD_010622626/DDD_010622626_0340_articletext.xml,DDD_010622626_0340_articletext.xml,1,1992-05-15,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1992/05-15/DDD_010622626,2127141,,,,,,,,,,,,0.10751077994653896,"Niet echt. In 1990 reeds tekenden rijk, provincies en de Samenwerkende Elektriciteits-Produktiebedrijven (SEP) een overeenkomst, waarin werd afgesproken dat de uitstoot van zwaveldioxide in 2000 met 90 procent zal zijn verminderd, ten opzichte van 1980. Niet zo moeilijk om datzelfde percentage door te trekken naar 2010, ook al zal naar wordt verondersteld de elektriciteitsproduktie met 2 procent per jaar toenemen. En weliswaar is de nu beoogde terugdringing van stikstofdioxide in 2010 20 procent hoger dan de 60 procent uit de overeenkomst, maar een heilig getal is het niet. Tachtig procent is namelijk wel heel veel, geeft de regering in het elektriciteitsplan zelf ook toe. Er zullen dan ook geen messen worden getrokken wanneer die doelstelling pas een paar jaar later wordt gehaald. De volgende zin in het persbericht. „Daarnaast wordt stabilisatic van de uitstoot van het broeikasgas kooldioxide (CO2) in 2010 ten opzichte van 1990 beoogd, ondanks een verwachte toename van het produktievermogen."" Tjongejonge, denkt de argeloze lezer: niet niks. Ondertussen lijkt deze doelstelling een behoorlijke afzwakking van het geldende regeringsbeleid. Dat gaat uit van een stabilisatie van de COj-uitstoot in zijn totaliteit in 1994 en zelfs een afname van 3 tot 5 procent in 2000. Wordt deze ambitieuze doelstelling dan losgelaten, nu de elektriciteitsproducenten er blijkbaar niet aan hoeven te voldoen? Nee zeker niet, haastte milieuminister Alders te zegeen tijdens een persconferentie. Men moest het als volgt zien: Centraal (met gas of kolen) opgewekte elektriciteit is een zuinige en efficiënte energiebron. Het is dan op zich ook helemaal niet verkeerd als het elektriciteitsgebruik toeneemt, ter vervanging van veelal inefficiënter direct gebruik van gas (bijvoorbeeld centrale verwarmingen en geisers) en olie. De CO;-uitstoot van elektriciteitscentrales neemt daardoor weliswaar toe, maar daartegenover staat een grotere afname bij andere energiebronnen. Alders geeft overigens zelf toe dat er op dit terrein nog tal van onzekerheden zijn. Een van de problemen die de CO 2-doelstellingen in gevaar brengt, is de verwachte economische groei. Hoewel het elektriciteitsplan uitgaat van een energiebesparing van maar liefst 30 procent, weegt die niet op tegen de toename van de economische produktie, waardoor het produktievermogen omhoog moet van 15000 Megawatt naar 18000 Megawatt. Alders heeft ook de cijfers gezien van het Rijks Instituut voor oe Milieuhygiëne, waaruit blijkt dat de uitstoot van CO2 in Nederland bij ongewijzigd beleid na 2000 weer flink toeneemt. Alleen daarom al wil hij invoering van fikse energieheffingen. De animo daarvoor is echter (nog) onvoldoende, zowel in Nederland, als in Europa en de rest van de wereld. Alders zit dus in een moeilijk parket.",niet echt in reeds tekenden rijk provincies en de samenwerkende een overeenkomst waarin werd afgesproken dat de van zwaveldioxide in met procent zal zijn verminderd ten opzichte van niet zo moeilijk om datzelfde percentage door te trekken naar ook al zal naar wordt verondersteld de met procent per jaar toenemen en weliswaar is de beoogde van in procent hoger dan de procent de overeenkomst maar een heilig getal is het niet tachtig procent is namelijk wel heel veel geeft de regering in het zelf ook toe er dan ook geen messen worden getrokken wanneer die doelstelling pas een paar jaar later wordt gehaald de volgende zin in het persbericht daarnaast wordt van de van het kooldioxide in ten opzichte van beoogd ondanks een verwachte toename van het denkt de argeloze lezer niet niks lijkt deze doelstelling een behoorlijke van het geldende regeringsbeleid dat van een stabilisatie van de in zijn totaliteit in en zelfs een afname van tot procent in wordt deze doelstelling dan losgelaten de er blijkbaar niet aan hoeven te voldoen nee zeker niet haastte te tijdens een persconferentie men moest het als volgt zien centraal met gas of kolen opgewekte elektriciteit is een en energiebron het is dan op zich ook helemaal niet verkeerd als het toeneemt ter vervanging van veelal direct van gas bijvoorbeeld centrale verwarmingen en geisers en olie de van elektriciteitscentrales neemt daardoor weliswaar toe maar daartegenover staat een grotere afname bij andere energiebronnen geeft overigens zelf toe dat er op dit terrein nog tal van onzekerheden zijn een van de problemen die de in gevaar brengt is de verwachte economische groei hoewel het van een energiebesparing van maar liefst procent weegt die niet op tegen de toename van de economische waardoor het omhoog moet van megawatt naar megawatt heeft ook de cijfers gezien van het voor blijkt dat de van in bij ongewijzigd beleid na weer flink toeneemt alleen daarom al wil hij invoering van fikse de animo daarvoor is echter nog onvoldoende zowel in als in en de rest van de wereld zit in een moeilijk parket,p,Y,NG
97,111,2399,2399,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1991/01-02/DDD_010646417/DDD_010646417_0400_articletext.xml,DDD_010646417_0400_articletext.xml,1,1991-01-02,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1991/01-02/DDD_010646417,3526339,,,,,,,,,,,,0.057762376518884564,"Vooral door verbranding van kolen, gas en olie ontstaat kooldioxyde, welke stof het meest bijdraagt aan he broeikaseffect. Energiebespa* ring moet de oplossing bic den. Een meerderheid van d' raad vindt dat de besparing verder moet gaan dan voorgesteld in de regeringsnota's NMP Plus en iVota Energiebesparing, namelijk een vermindering met twee procent!",vooral door verbranding van kolen gas en olie ontstaat welke stof het meest bijdraagt aan broeikaseffect ring moet de oplossing bic een meerderheid van raad vindt dat de besparing verder moet gaan dan voorgesteld in de regeringsnota en energiebesparing namelijk een vermindering met twee procent,p,Y,NG
