,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,article_filepath,article_name,count,date,dir,index_article,index_metadata,metadata_filepath,metadata_title,newspaper_city,newspaper_date,newspaper_issuenumber,newspaper_language,newspaper_publisher,newspaper_source,newspaper_title,newspaper_volume,accuracy_selection,text,text_clean,type,sentiment,energy
11,13,1425,1425,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1992/10-16/DDD_010646635/DDD_010646635_0576_articletext.xml,DDD_010646635_0576_articletext.xml,1,1992-10-16,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1992/10-16/DDD_010646635,1682890,4289.0,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1992/10-16/DDD_010646635/DDD:ddd:010646635:mpeg21.didl.xml.gz.xml,DDD:ddd:010646635:mpeg21.didl.xml.gz.xml,Amsterdam,1992-10-16,32571.0,nl,Dagblad De Telegraaf,KB C 98,De Telegraaf,100.0,0.1148516832298879,"In plaats van het in reserve houden van gas, ontvangt de Gasunie nu per kubieke meter 'geleased' gas een bepaald bedrag. Het gas wordt via het bestaande leidingermet rechtstreeks naar Oost-Duitsland getransporteerd. De vraag naar gas is in dit gedeelte van de Bondsrepubliek sterk toegenomen vanwege het schone' karakter van de brandstof. Traditioneel werd in de voormalige DDR sterk vervuilende bruinkool gestookt.",in plaats van het in reserve van gas ontvangt de per meter gas een bepaald bedrag het gas wordt via het bestaande rechtstreeks naar getransporteerd de vraag naar gas is in dit gedeelte van de sterk toegenomen vanwege het schone karakter van de brandstof traditioneel werd in de voormalige sterk gestookt,p,NG,Y
12,15,357,357,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1992/12-22/DDD_010622813/DDD_010622813_0161_articletext.xml,DDD_010622813_0161_articletext.xml,2,1992-12-22,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1992/12-22/DDD_010622813,1872292,,,,,,,,,,,,0.1444261846184037,"Volgens de Britse regering is er geen markt meer voor een groot deel van de steenkool. Er zijn grote voorraden overtollige steenkool, mede omdat de elektriciteitsmaatschappijen vooral het veel schonere aardgas gebruiken.",volgens de regering is er geen markt meer voor een groot deel van de steenkool er zijn grote voorraden overtollige steenkool mede omdat de vooral het veel aardgas,p,NG,Y
13,16,1105,1105,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1992/12-04/DDD_010622798/DDD_010622798_0232_articletext.xml,DDD_010622798_0232_articletext.xml,1,1992-12-04,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1992/12-04/DDD_010622798,2052982,,,,,,,,,,,,0.0587480616996012,"MUNCHEN (AP) - De grote Duitse elektriciteitsmaatschappijen VEBA en RWE willen kernenergie op den duur vaarwel zeggen en geen brandstof staven meer opwerken. Dat heeft de SUddeutsche Zeitung vandaag gemeld. Volgens de krant hebben de maatschappijen bondskanselier Helmut Konl in een brief op de hoogte gebracht. Als de huidige kerncentrales over een aantal jaren moeten worden gesloten, zouden zij moeten worden vervangen door kolen- en fascentrales, aldus de directies. Zij evelen wel aan het onderzoek naar veilige kernenergie voort te zetten.",de grote en willen kernenergie op vaarwel zeggen en geen brandstof staven meer opwerken dat heeft de vandaag gemeld volgens de krant hebben de maatschappijen bondskanselier in een brief op de hoogte gebracht als de over een aantal jaren moeten worden gesloten zoden zij moeten worden vervangen door en de directies zij wel aan het onderzoek naar veilige kernenergie voort te zetten,p,NE,Y
14,17,4005,4005,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1991/04-27/DDD_011019619/DDD_011019619_0623_articletext.xml,DDD_011019619_0623_articletext.xml,1,1991-04-27,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1991/04-27/DDD_011019619,3215107,8295.0,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1991/04-27/DDD_011019619/DDD:ddd:011019619:mpeg21.didl.xml.gz.xml,DDD:ddd:011019619:mpeg21.didl.xml.gz.xml,Groningen,1991-04-27,99.0,nl,Nieuwenhuis,Groninger archieven,Nieuwsblad van het Noorden,104.0,0.060512865161674124,"In de discussies over de elektriciteitsopwekking in de toekomst zijn kerncentrales tot voor vijf jaar nadrukkelijk in beeld geweest. Kernenergie is uiteindelijk op een zijspoor gezet gezien de potentiële gevaren die eraan kleven. Gekozen werd voor de bouw van nieuwe aardgas- dan wel kolen gestookte centrales, die een hoog rendement opleveren, en stimuleren van andere opwekkingsmogelijkheden als bijvoorbeeld windmolens. Volgens Van Halderen is op lange termijn echter niet aan kernenergie te ontkomen.",in de over de in de toekomst zijn tot voor vijf jaar in beeld geweest kernenergie is op een zijspoor gezet gezien de gevaren die eraan kleven gekozen werd voor de van dan wel kolen gestookte centrales die een hoog rendement opleveren en van andere als bijvoorbeeld windmolens volgens van is op lange termijn echter niet aan kernenergie te ontkomen,p,PO,Y
15,18,2046,2046,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1991/06-04/DDD_010559678/DDD_010559678_0151_articletext.xml,DDD_010559678_0151_articletext.xml,1,1991-06-04,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1991/06-04/DDD_010559678,3757946,,,,,,,,,,,,0.0982474794522153,"Het aandeel van kolen in de elektriciteitsproduktie steeg vorig jaar van 37,4 naar 45 procent, terwijl dat van gas daalde van 54,2 naar 47,6 procent. Het aandeel van kernenergie daalde van 7,8 naar 7,1 procent en dat van olie van 0,6 naar 0,3 procent. De stijging van het thermisch rendement van de voorgaande jaren zette niet door. Het bedroeg vorig jaar 40,4 procent, evenals in 1989.",het aandeel van kolen in de steeg vorig jaar van naar procent terwijl dat van gas daalde van naar procent het aandeel van kernenergie daalde van naar procent en dat van olie van naar procent de stijging van het thermisch rendement van de voorgaande jaren zette niet door het bedroeg vorig jaar procent evenals in,p,NE,Y
16,20,258,258,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1993/09-23/DDD_010637650/DDD_010637650_0187_articletext.xml,DDD_010637650_0187_articletext.xml,2,1993-09-23,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1993/09-23/DDD_010637650,216345,547.0,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1993/09-23/DDD_010637650/DDD:ddd:010637650:mpeg21.didl.xml.gz.xml,DDD:ddd:010637650:mpeg21.didl.xml.gz.xml,Heerlen,1993-09-23,224.0,nl,Nieuwe Limburger koerier;Uitgeversmaatschappĳ Limburgs Dagblad,KB C 101,Limburgsch dagblad,75.0,0.039042207528633466,"GELSENKIRCHEN - Geblokkeerde bruggen, kruispunten en bezette mijnschachten. In het Roergebied, nog altyd het grootste industriegebied van Duitsland, kookt het weer. Waren het in het recente verleden met ontslag bedreigde staalarbeiders, dit keer zijn het de mijnwerkers die de straat op gaan. Aanleiding vormt de dinsdag aangekondigde sluiting van de mijn Monopol in Bergkamen plus een gedeeltelijke stillegging van mijnen in Hamm en Gelsenkirchen begin volgend jaar, waardoor 6.000 banen verdwijnen. Meer dan 80.000 mijnwerkers betuigden in het hele Roergebied hun solidariteit met de 3000 kompels die sinds dinsdag hun mijn in Bergkamen bezet houden. Zestig van hen weigeren naar boven te komen. Ze zitten al twee dagen op duizend meter diepte. De mijnwerkers eisen dat de regering-Kohl zijn belofte van twee jaar geleden nakomt dat een gegarandeerde hoeveelheid steenkool zou worden gewonnen. Gezien de economische recessie is de behoefte aan steenkool echter drastisch teruggelopen. De werkgevers hebben voorspeld dat nog veel meer ontslagen zullen vallen indien nu niet wordt gesaneerd.",geblokkeerde en bezette mijnschachten in het nog het grootste van kookt het weer waren het in het recente verleden met ontslag bedreigde dit keer zijn het de mijnwerkers die de straat op gaan aanleiding vormt de dinsdag aangekondigde van de mijn in een gedeeltelijke van mijnen in en begin volgend jaar waardoor banen verdwijnen meer dan mijnwerkers in het hele solidariteit met de die sinds dinsdag mijn in bezet zestig van hen weigeren naar boven te komen ze zitten al twee dagen op meter diepte de mijnwerkers eisen dat de zijn belofte van twee jaar geleden nakomt dat een gegarandeerde hoeveelheid steenkool zo worden gewonnen gezien de economische recessie is de behoefte aan steenkool echter drastisch de werkgevers hebben voorspeld dat nog veel meer ontslagen vallen indien niet wordt gesaneerd,p,NE,Y
17,21,653,653,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1994/08-25/DDD_010644238/DDD_010644238_0045_articletext.xml,DDD_010644238_0045_articletext.xml,2,1994-08-25,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1994/08-25/DDD_010644238,863518,,,,,,,,,,,,0.11131169399768276,"Oekraïne moet steenkool uit Rusland en Polen invoeren, omdat de eigen produktie dit jaar op slechts 100 miljoen ton zal uitkomen. Dat is 15 miljoen ton minder dan de ex-Sovjetstaat nodig heeft. Steenkool vormt de enige energiebron, die Oekraïne in grote hoeveelheden bezit. Door een tekort aan geld zijn de laatste drie jaar amper machines vervangen.",moet steenkool en invoeren omdat de eigen dit jaar op slechts miljoen ton zal dat is miljoen ton minder dan de nodig heeft steenkool vormt de enige energiebron die in grote hoeveelheden bezit door een tekort aan geld zijn de laatste drie jaar amper machines vervangen,p,NE,Y
18,22,1716,1716,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1992/05-14/DDD_010646660/DDD_010646660_0658_articletext.xml,DDD_010646660_0658_articletext.xml,1,1992-05-14,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1992/05-14/DDD_010646660,2063328,5249.0,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1992/05-14/DDD_010646660/DDD:ddd:010646660:mpeg21.didl.xml.gz.xml,DDD:ddd:010646660:mpeg21.didl.xml.gz.xml,Amsterdam,1992-05-14,32440.0,nl,Dagblad De Telegraaf,KB C 98,De Telegraaf,100.0,0.06890414693050331,"De belastingmaatregel, die al 1 januari 1993 door de lidstaten zou moeten worden ingevoerd, is deel van de eind 1990 overeengekomen strategie om de CÖ2-uitstoot in de EG in het jaar 2000 te stabiliseren op het niveau van 1990. De helft van dit streven moet worden bereikt door de ecotax', de andere helft door energiebesparingsprogamma's. De voorgestelde heffing wordt gebaseerd op enerzijds de energetische waarde van de betrokken stof en anderzijds de CO2-uitstoot, waarbij de eerste component niet meer dan 50% mag bedragen. Fossiele brandstoffen (kolen, oüe en gas) worden op deze manier zwaarder belast dan bijvoorbeeld kernenergie.",de die al door de lidstaten zo moeten worden ingevoerd is deel van de eind overeengekomen strategie om de in de eg in het jaar te stabiliseren op het van de helft van dit streven moet worden bereikt door de de andere helft door de voorgestelde heffing wordt gebaseerd op enerzijds de energetische waarde van de betrokken stof en anderzijds de waarbij de eerste component niet meer dan mag bedragen fossiele brandstoffen kolen en gas worden op deze manier zwaarder belast dan bijvoorbeeld kernenergie,p,NG,Y
19,23,3381,3381,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1993/01-29/DDD_011020171/DDD_011020171_0202_articletext.xml,DDD_011020171_0202_articletext.xml,1,1993-01-29,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1993/01-29/DDD_011020171,130155,335.0,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1993/01-29/DDD_011020171/DDD:ddd:011020171:mpeg21.didl.xml.gz.xml,DDD:ddd:011020171:mpeg21.didl.xml.gz.xml,Groningen,1993-01-29,24.0,nl,Nieuwenhuis,Groninger archieven,Nieuwsblad van het Noorden,106.0,0.14873837027116155,"DEN HAAG — Minister Alders (milieubeheer) heeft een aantal produkten verboden waarin het voor de ozonlaag schadelijke CFK 'chloorfluor koolstof) voorkomt. De minister voert hiermee de onlangs aangescherpte EG-richtiijn uit, die produkten met CFK in 1995 geheel verbiedt. Voor 1992 is de doelstelling van de CFK-vermindering overigens niet helemaal gehaald. Dat is ook een reden de maatregelen aan te scherpen. Op advies van de zogeheten CFK-commissie heeft Alders gisteren bepaalde produkten verboden die CFK bevatten, zoals: 'zachtschuim' (dat toegepast wordt in onder meer matrassen), isolatiemateriaal (wat onder meer in de bouw wordt gebruikt) en vulling van koelkasten en vriesinstallaties.",minister heeft een aantal verboden waarin het voor de ozonlaag schadelijke koolstof voorkomt de minister voert hiermee de onlangs aangescherpte die met in geheel verbiedt voor is de doelstelling van de overigens niet helemaal gehaald dat is ook een reden de maatregelen aan te scherpen op advies van de zogeheten heeft gisteren bepaalde verboden die bevatten zoals dat toegepast wordt in onder meer matrassen isolatiemateriaal wat onder meer in de wordt en van koelkasten en,p,NG,Y
20,24,3933,3933,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1990/07-12/DDD_010641555/DDD_010641555_0149_articletext.xml,DDD_010641555_0149_articletext.xml,1,1990-07-12,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1990/07-12/DDD_010641555,2750107,,,,,,,,,,,,0.0832645732935817,Door overmatige verbranding van fossiele brandstoffen als steenkool en olie komen gassen vrij - bijvoorbeeld kooldioxyde (CO2) - die door de zon geproduceerde warmte in de atmosfeer van de aarde vasthouden. Daardoor stijgt langzaam de temperatuur op aarde. Volgens een in mei gepubliceerde studie van een door de Verenigde Naties gefinancierde werkgroep van wetenschaps-,door overmatige verbranding van fossiele brandstoffen als steenkool en olie komen gassen vrij bijvoorbeeld die door de warmte in de atmosfeer van de aarde daardoor stijgt langzaam de op aarde volgens een in mei van een door de verenigde naties gefinancierde werkgroep van,p,NG,Y
21,25,2478,2478,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1991/06-15/DDD_010623624/DDD_010623624_0065_articletext.xml,DDD_010623624_0065_articletext.xml,1,1991-06-15,/Users/leonardovida/dev/HistAware/data/raw/delpher/1990s/1991/06-15/DDD_010623624,3528514,,,,,,,,,,,,0.12691803845508515,Drt blijkt uit een meting van de werkgroep Ener- Sic- en Milieuonderzoek van de Rijksuniversiteit in Leiden. Zij voerde dit onderzoek naar de houding van het publiek ten aanzien van kernenergie en kolen voor de elektriciteitsvoorziening uit in opdracht van het ministerie van Vrom. De peiling geeft aan dat de bevolking nauw betrokken wil zijn bij een mogelijke beleidsbeslissing over kernenergie.,blijkt een meting van de werkgroep en van de in leiden zij voerde dit onderzoek naar de van het ten aanzien van kernenergie en kolen voor de elektriciteitsvoorziening in opdracht van het ministerie van de peiling geeft aan dat de bevolking betrokken wil zijn bij een mogelijke beleidsbeslissing over kernenergie,p,NE,Y
